post_id,platform,content_type,topic,language,region,post_datetime,hashtags,sentiment_score,views,likes,comments,shares,engagement_rate,is_viral,post_date,post_time,followers,engagement_level,follower_category,creator_id
249,LinkedIn,article,Technology,DE,IN,"2025-12-27 20:17:00","#DataScience #Innovation #CodingLife #MachineLearning #TechTrends #Programming #AI",0.94,6101,364,140,56,0.0919,1,2025-12-27,20:17:00,919,LOW,SMALL,5
250,LinkedIn,carousel,Business,PT,DE,"2025-06-26 15:00:00","#Entrepreneur #CareerGrowth #Hustle #BusinessTips #StartupLife #Leadership",0.51,24738,1486,571,228,0.0925,1,2025-06-26,15:00:00,925,LOW,SMALL,5
251,LinkedIn,article,Business,PT,DE,"2025-02-28 15:13:00","#Entrepreneur #CareerGrowth #BusinessTips #Leadership #StartupLife #Hustle",0.5,42257,2250,865,346,0.082,1,2025-02-28,15:13:00,820,LOW,SMALL,5
252,LinkedIn,poll,Sports,EN,MX,"2025-05-13 16:38:00","#Workout #Sports #Football #Training #Basketball #Fitness #Cricket",-0.11,27920,1405,540,216,0.0774,0,2025-05-13,16:38:00,774,LOW,SMALL,5
253,LinkedIn,poll,Sports,UR,MX,"2025-12-18 15:37:00","#Fitness #Basketball #Workout",0.41,35256,2726,1048,419,0.119,1,2025-12-18,15:37:00,1190,LOW,SMALL,5
254,LinkedIn,poll,Health,ES,CA,"2025-02-19 09:32:00","#Health #MentalHealth #Wellness",-0.51,1078,65,25,10,0.0929,1,2025-02-19,09:32:00,929,LOW,SMALL,5
255,LinkedIn,carousel,Fashion,PT,DE,"2025-01-23 13:51:00","#TrendingStyle #OOTD #Fashion #Style #Lookbook #FashionTips",0.54,6493,236,91,36,0.0562,0,2025-01-23,13:51:00,562,LOW,SMALL,5
256,LinkedIn,poll,Health,UR,BR,"2025-01-03 00:33:00","#HealthTips #Health #MentalHealth",0.81,21702,1067,410,164,0.0757,0,2025-01-03,00:33:00,757,LOW,SMALL,5
257,LinkedIn,article,Sports,PT,CA,"2025-05-10 15:23:00","#Football #Workout #Basketball #Fitness #Cricket #Training #Sports",0.73,17631,1660,638,255,0.1449,1,2025-05-10,15:23:00,1449,LOW,SMALL,5
258,LinkedIn,poll,Education,PT,MX,"2025-12-04 10:50:00","#Education #Learning #Certification #Knowledge #StudyTips #AcademicSuccess",0.11,45863,2792,1074,429,0.0937,1,2025-12-04,10:50:00,937,LOW,SMALL,5
259,LinkedIn,video,Health,EN,IN,"2025-03-16 15:04:00","#Wellness #Fitness #Health #HealthTips #MentalHealth",0.27,27256,1558,599,239,0.088,1,2025-03-16,15:04:00,880,LOW,SMALL,5
260,LinkedIn,poll,Lifestyle,EN,MX,"2025-11-24 09:54:00","#Wellness #Motivation #DailyLife #Lifestyle #MindfulLiving #Positivity",0.62,43927,677,260,104,0.0238,0,2025-11-24,09:54:00,238,LOW,SMALL,5
261,LinkedIn,video,Entertainment,UR,FR,"2025-06-30 12:12:00","#Entertainment #MovieTime #ShowBiz #Funny #Trending #Viral #FollowForMore",0.89,15830,1051,404,161,0.1022,1,2025-06-30,12:12:00,1022,LOW,SMALL,5
262,LinkedIn,video,Travel,PT,CA,"2025-01-03 15:06:00","#Travel #ExploreMore #Wanderlust #Adventure #Journey #Tourism",0.21,38676,1202,462,185,0.0479,0,2025-01-03,15:06:00,479,LOW,SMALL,5
263,LinkedIn,carousel,Health,JA,BR,"2025-06-23 14:29:00","#Health #MentalHealth #Nutrition #Wellness #HealthTips #Fitness",1,45362,3454,1328,531,0.1172,1,2025-06-23,14:29:00,1172,LOW,SMALL,5
264,LinkedIn,image,Health,DE,AU,"2025-10-02 14:18:00","#MentalHealth #Fitness #Health",0.51,21569,894,344,137,0.0638,0,2025-10-02,14:18:00,638,LOW,SMALL,5
265,LinkedIn,poll,Lifestyle,ES,BR,"2025-09-13 07:15:00","#DailyLife #MindfulLiving #Wellness #Lifestyle #Positivity",0.46,6143,397,153,61,0.0997,1,2025-09-13,07:15:00,997,LOW,SMALL,5
266,LinkedIn,carousel,Food,EN,AU,"2025-01-22 11:20:00","#FoodBlog #Cooking #Recipe #Food #Foodie #MustTry",0.75,4548,262,101,40,0.0889,1,2025-01-22,11:20:00,889,LOW,SMALL,5
267,LinkedIn,carousel,Travel,EN,AU,"2025-06-27 10:07:00","#ExploreMore #Tourism #Wanderlust #Journey #Travel #Adventure",0.63,7602,308,118,47,0.0625,0,2025-06-27,10:07:00,625,LOW,SMALL,5
268,LinkedIn,poll,Lifestyle,ES,AU,"2025-05-15 15:21:00","#DailyLife #Positivity #Wellness #Lifestyle #MindfulLiving",-0.01,27253,846,325,130,0.0478,0,2025-05-15,15:21:00,478,LOW,SMALL,5
269,LinkedIn,video,Food,ES,CA,"2025-12-18 09:17:00","#FoodBlog #Recipe #MustTry #Food",0.98,10800,611,235,94,0.0871,1,2025-12-18,09:17:00,871,LOW,SMALL,5
270,LinkedIn,article,Sports,PT,JP,"2025-03-10 20:34:00","#Football #Basketball #Training #Cricket #Workout #Sports #Fitness",0.5,15120,1145,440,176,0.1166,1,2025-03-10,20:34:00,1166,LOW,SMALL,5
271,LinkedIn,carousel,Entertainment,JA,DE,"2025-05-14 14:01:00","#Entertainment #Trending #Funny #Viral #MovieTime #ShowBiz",-0.74,22305,984,378,151,0.0679,0,2025-05-14,14:01:00,679,LOW,SMALL,5
272,LinkedIn,carousel,Travel,HI,FR,"2025-11-11 10:40:00","#Tourism #ExploreMore #Journey #Travel #Wanderlust",0.54,21766,1402,539,215,0.0991,1,2025-11-11,10:40:00,990,LOW,SMALL,5
273,LinkedIn,image,Food,PT,UK,"2025-08-16 11:37:00","#Recipe #MustTry #Foodie #Food #Cooking #FoodBlog",0.13,49750,3025,1163,465,0.0936,1,2025-08-16,11:37:00,936,LOW,SMALL,5
274,LinkedIn,article,Business,ES,FR,"2025-02-22 15:03:00","#CareerGrowth #Leadership #BusinessTips",0.77,6525,445,171,68,0.1052,1,2025-02-22,15:03:00,1052,LOW,SMALL,5
275,LinkedIn,carousel,Lifestyle,FR,BR,"2025-05-26 10:33:00","#Lifestyle #MindfulLiving #Motivation #DailyLife",0.03,36427,2711,1042,417,0.1145,1,2025-05-26,10:33:00,1145,LOW,SMALL,5
276,LinkedIn,poll,Travel,ES,AU,"2025-04-01 15:47:00","#ExploreMore #Tourism #Wanderlust #Adventure #Journey #Travel",0.02,24971,999,384,153,0.0616,0,2025-04-01,15:47:00,616,LOW,SMALL,5
277,LinkedIn,video,Lifestyle,EN,US,"2025-09-25 04:18:00","#Wellness #Lifestyle #Positivity #DailyLife #Motivation #MindfulLiving",0.2,40125,1192,458,183,0.0457,0,2025-09-25,04:18:00,457,LOW,SMALL,5
278,LinkedIn,article,Fashion,DE,BR,"2025-07-30 13:15:00","#Lookbook #TrendingStyle #FashionTips #Fashion",0.65,16699,929,357,143,0.0856,1,2025-07-30,13:15:00,856,LOW,SMALL,5
279,LinkedIn,poll,Lifestyle,UR,AU,"2025-05-18 09:08:00","#Lifestyle #Positivity #Wellness #DailyLife #Motivation",0.41,4252,362,139,55,0.1314,1,2025-05-18,09:08:00,1314,LOW,SMALL,5
280,LinkedIn,article,Sports,HI,UK,"2025-05-18 15:00:00","#Sports #Fitness #Training #Basketball",0.65,33662,3131,1204,481,0.1432,1,2025-05-18,15:00:00,1432,LOW,SMALL,5
281,LinkedIn,carousel,Technology,DE,IN,"2025-03-16 15:34:00","#MachineLearning #Programming #DataScience #TechTrends #AI #Innovation",-0.36,26218,1476,567,227,0.0866,1,2025-03-16,15:34:00,866,LOW,SMALL,5
282,LinkedIn,carousel,Business,EN,BR,"2025-08-24 03:42:00","#CareerGrowth #Hustle #StartupLife #Entrepreneur",0.84,49806,4609,1773,709,0.1424,1,2025-08-24,03:42:00,1424,LOW,SMALL,5
283,LinkedIn,poll,Entertainment,UR,JP,"2025-11-23 14:55:00","#Viral #Entertainment #ShowBiz #FollowForMore #Funny #MovieTime #Trending",0.09,26939,1778,684,273,0.1016,1,2025-11-23,14:55:00,1016,LOW,SMALL,5
284,LinkedIn,article,Technology,JA,CA,"2025-03-21 09:10:00","#AI #CodingLife #Innovation #DataScience #TechTrends #Programming",0.79,46962,2780,1069,427,0.0911,1,2025-03-21,09:10:00,911,LOW,SMALL,5
285,LinkedIn,article,Sports,JA,BR,"2025-06-12 20:22:00","#Workout #Fitness #Sports #Basketball #Training #Cricket",0.42,47309,2206,848,339,0.0718,0,2025-06-12,20:22:00,718,LOW,SMALL,5
286,LinkedIn,image,Fashion,JA,BR,"2025-10-18 14:46:00","#OOTD #FashionTips #Style #Fashion #Lookbook #TrendingStyle",0.56,25059,1244,478,191,0.0764,0,2025-10-18,14:46:00,764,LOW,SMALL,5
287,LinkedIn,poll,Health,ES,US,"2025-11-14 19:20:00","#Health #HealthTips #MentalHealth #Nutrition #Wellness #Fitness",0.59,43002,1717,660,264,0.0614,0,2025-11-14,19:20:00,614,LOW,SMALL,5
288,LinkedIn,article,Fashion,HI,US,"2025-03-08 09:06:00","#Style #Fashion #FashionTips #OOTD #Lookbook #TrendingStyle",0.82,17773,358,137,55,0.031,0,2025-03-08,09:06:00,310,LOW,SMALL,5
289,LinkedIn,video,Food,HI,US,"2025-04-17 02:51:00","#Food #Cooking #Recipe #Foodie #MustTry #FoodBlog",0.84,20916,472,181,72,0.0348,0,2025-04-17,02:51:00,348,LOW,SMALL,5
290,LinkedIn,video,Fashion,HI,IN,"2025-04-29 10:33:00","#Style #FashionTips #Lookbook #OOTD #TrendingStyle #Fashion",0.09,45203,1987,764,305,0.0677,0,2025-04-29,10:33:00,677,LOW,SMALL,5
291,LinkedIn,carousel,Entertainment,ES,MX,"2025-10-09 14:10:00","#Funny #FollowForMore #Trending #ShowBiz #MovieTime #Viral #Entertainment",0.78,48570,2039,784,313,0.0646,0,2025-10-09,14:10:00,646,LOW,SMALL,5
292,LinkedIn,video,Food,FR,FR,"2025-10-09 08:28:00","#Recipe #Food #FoodBlog #Foodie #MustTry #Cooking",-0.73,20682,1243,478,191,0.0925,1,2025-10-09,08:28:00,925,LOW,SMALL,5
293,LinkedIn,video,Education,EN,UK,"2025-10-11 10:02:00","#Knowledge #Education #AcademicSuccess #StudyTips #Certification #Learning",0.89,7023,445,171,68,0.0976,1,2025-10-11,10:02:00,976,LOW,SMALL,5
294,LinkedIn,poll,Business,HI,DE,"2025-09-05 09:41:00","#BusinessTips #Leadership #CareerGrowth #Hustle #StartupLife",-0.7,29462,932,358,143,0.0487,0,2025-09-05,09:41:00,487,LOW,SMALL,5
295,LinkedIn,article,Business,EN,FR,"2025-01-28 09:34:00","#Entrepreneur #StartupLife #Hustle #BusinessTips #Leadership #CareerGrowth",-0.32,38699,1602,616,246,0.0637,0,2025-01-28,09:34:00,637,LOW,SMALL,5
296,LinkedIn,video,Health,UR,FR,"2025-03-17 09:36:00","#Health #HealthTips #MentalHealth #Wellness #Nutrition #Fitness",0.86,9544,750,288,115,0.121,1,2025-03-17,09:36:00,1210,LOW,SMALL,5
297,LinkedIn,carousel,Fashion,FR,JP,"2025-07-22 06:39:00","#FashionTips #Style #Lookbook #Fashion #TrendingStyle #OOTD",0.95,6871,178,68,27,0.0402,0,2025-07-22,06:39:00,402,LOW,SMALL,5
298,LinkedIn,carousel,Health,DE,DE,"2025-04-08 09:10:00","#HealthTips #MentalHealth #Wellness #Nutrition #Health",-0.79,45915,1306,502,201,0.0438,0,2025-04-08,09:10:00,438,LOW,SMALL,5
299,LinkedIn,article,Entertainment,EN,BR,"2025-11-14 09:21:00","#ShowBiz #Entertainment #Trending #FollowForMore #Viral #MovieTime #Funny",0.72,14356,846,325,130,0.0908,1,2025-11-14,09:21:00,908,LOW,SMALL,5
300,LinkedIn,image,Fashion,JA,CA,"2025-03-14 21:24:00","#Lookbook #FashionTips #Fashion #Style #TrendingStyle #OOTD",0.87,41498,1602,616,246,0.0594,0,2025-03-14,21:24:00,594,LOW,SMALL,5
301,LinkedIn,carousel,Technology,HI,FR,"2025-12-05 14:01:00","#Programming #CodingLife #TechTrends #MachineLearning #Innovation",0.83,21673,1204,463,185,0.0855,1,2025-12-05,14:01:00,855,LOW,SMALL,5
302,LinkedIn,poll,Fashion,HI,MX,"2025-04-12 15:59:00","#Fashion #Lookbook #Style #OOTD #TrendingStyle #FashionTips",0.85,2204,98,37,15,0.0686,0,2025-04-12,15:59:00,686,LOW,SMALL,5
303,LinkedIn,image,Education,UR,BR,"2025-09-14 09:16:00","#Learning #AcademicSuccess #Knowledge #Certification #StudyTips #Education",0.13,6753,423,163,65,0.0966,1,2025-09-14,09:16:00,966,LOW,SMALL,5
304,LinkedIn,poll,Food,FR,FR,"2025-05-04 15:58:00","#Cooking #Recipe #Foodie #Food #MustTry #FoodBlog",-0.05,47211,3320,1277,510,0.1082,1,2025-05-04,15:58:00,1082,LOW,SMALL,5
305,LinkedIn,video,Health,ES,CA,"2025-03-22 09:20:00","#Nutrition #Health #Fitness #Wellness",-0.73,49864,2869,1103,441,0.0885,1,2025-03-22,09:20:00,885,LOW,SMALL,5
306,LinkedIn,image,Sports,FR,IN,"2025-03-09 14:36:00","#Fitness #Cricket #Training #Workout #Football #Sports #Basketball",0.87,9787,562,216,86,0.0886,1,2025-03-09,14:36:00,886,LOW,SMALL,5
307,LinkedIn,poll,Travel,DE,MX,"2025-07-18 10:12:00","#Travel #Tourism #Journey #Adventure",-0.8,44996,2640,1015,406,0.0903,1,2025-07-18,10:12:00,903,LOW,SMALL,5
308,LinkedIn,video,Entertainment,ES,JP,"2025-11-12 14:56:00","#FollowForMore #ShowBiz #Entertainment #MovieTime",0,49658,2491,958,383,0.0772,0,2025-11-12,14:56:00,772,LOW,SMALL,5
309,LinkedIn,poll,Fashion,EN,AU,"2025-02-25 09:33:00","#TrendingStyle #Fashion #Lookbook #OOTD #FashionTips #Style",0.64,20959,1580,608,243,0.1161,1,2025-02-25,09:33:00,1161,LOW,SMALL,5
310,LinkedIn,image,Travel,ES,FR,"2025-05-31 01:33:00","#Tourism #Journey #Travel #Wanderlust",0.51,39367,3356,1291,516,0.1312,1,2025-05-31,01:33:00,1312,LOW,SMALL,5
311,LinkedIn,poll,Sports,PT,FR,"2025-06-15 10:37:00","#Fitness #Basketball #Sports #Football #Training #Cricket #Workout",0.82,42554,1939,746,298,0.0701,0,2025-06-15,10:37:00,701,LOW,SMALL,5
312,LinkedIn,poll,Health,ES,FR,"2025-10-09 10:36:00","#Wellness #Nutrition #HealthTips #Health #Fitness #MentalHealth",0.84,30245,1202,462,185,0.0612,0,2025-10-09,10:36:00,612,LOW,SMALL,5
313,LinkedIn,video,Entertainment,ES,BR,"2025-01-02 08:29:00","#ShowBiz #FollowForMore #Funny #Entertainment #Trending #Viral",0.75,32176,1674,644,257,0.0801,1,2025-01-02,08:29:00,801,LOW,SMALL,5
314,LinkedIn,carousel,Entertainment,EN,BR,"2025-10-08 10:11:00","#Entertainment #MovieTime #Trending #ShowBiz",0.42,38885,2953,1136,454,0.1169,1,2025-10-08,10:11:00,1169,LOW,SMALL,5
315,LinkedIn,image,Education,HI,US,"2025-02-25 10:43:00","#AcademicSuccess #Certification #Education #StudyTips #Knowledge",-0.92,20614,507,195,78,0.0379,0,2025-02-25,10:43:00,379,LOW,SMALL,5
316,LinkedIn,carousel,Entertainment,PT,AU,"2025-02-03 10:44:00","#Trending #Funny #FollowForMore #Viral #ShowBiz",0.43,38445,2622,1008,403,0.105,1,2025-02-03,10:44:00,1050,LOW,SMALL,5
317,LinkedIn,poll,Entertainment,JA,CA,"2025-12-28 14:33:00","#Funny #Trending #Viral #FollowForMore #MovieTime #ShowBiz #Entertainment",0.24,16251,1028,395,158,0.0974,1,2025-12-28,14:33:00,974,LOW,SMALL,5
318,LinkedIn,video,Technology,HI,US,"2025-08-27 03:54:00","#Programming #Innovation #TechTrends #CodingLife",0.61,42779,1355,521,208,0.0488,0,2025-08-27,03:54:00,488,LOW,SMALL,5
319,LinkedIn,video,Lifestyle,UR,IN,"2025-06-07 14:07:00","#Motivation #MindfulLiving #Positivity #Wellness #Lifestyle #DailyLife",0.9,45071,2526,971,388,0.0862,1,2025-06-07,14:07:00,862,LOW,SMALL,5
320,LinkedIn,carousel,Technology,ES,JP,"2025-03-21 17:29:00","#CodingLife #AI #Innovation #DataScience #TechTrends #MachineLearning",0.41,38840,2510,965,386,0.0994,1,2025-03-21,17:29:00,994,LOW,SMALL,5
321,LinkedIn,image,Entertainment,ES,UK,"2025-01-16 15:34:00","#Funny #ShowBiz #FollowForMore #Viral",0.92,21203,1591,612,244,0.1155,1,2025-01-16,15:34:00,1155,LOW,SMALL,5
322,LinkedIn,image,Technology,UR,FR,"2025-02-14 10:28:00","#MachineLearning #Innovation #DataScience #Programming #AI",0.42,14244,1160,446,178,0.1254,1,2025-02-14,10:28:00,1254,LOW,SMALL,5
323,LinkedIn,carousel,Fashion,EN,JP,"2025-09-14 14:46:00","#OOTD #Lookbook #Style #Fashion #FashionTips #TrendingStyle",0.03,47771,3335,1283,513,0.1074,1,2025-09-14,14:46:00,1074,LOW,SMALL,5
324,LinkedIn,article,Technology,UR,US,"2025-12-18 02:29:00","#AI #Innovation #DataScience",0.86,42867,3827,1472,588,0.1374,1,2025-12-18,02:29:00,1374,LOW,SMALL,5
325,LinkedIn,image,Business,FR,UK,"2025-05-22 15:07:00","#Entrepreneur #Hustle #StartupLife #BusinessTips #CareerGrowth",-0.5,7709,172,66,26,0.0346,0,2025-05-22,15:07:00,346,LOW,SMALL,5
326,LinkedIn,image,Fashion,DE,UK,"2025-03-14 09:15:00","#Fashion #OOTD #FashionTips #TrendingStyle",0.48,31850,2613,1005,402,0.1262,1,2025-03-14,09:15:00,1262,LOW,SMALL,5
327,LinkedIn,article,Entertainment,PT,US,"2025-02-14 10:38:00","#MovieTime #ShowBiz #FollowForMore #Trending #Viral #Funny #Entertainment",0.14,35962,677,260,104,0.029,0,2025-02-14,10:38:00,290,LOW,SMALL,5
328,LinkedIn,carousel,Food,ES,IN,"2025-12-24 15:43:00","#MustTry #Recipe #FoodBlog #Food #Cooking #Foodie",0.11,24819,986,379,151,0.0612,0,2025-12-24,15:43:00,612,LOW,SMALL,5
329,LinkedIn,image,Education,JA,JP,"2025-01-16 09:30:00","#Education #Knowledge #AcademicSuccess #StudyTips #Learning #Certification",0.83,8011,341,131,52,0.0657,0,2025-01-16,09:30:00,657,LOW,SMALL,5
330,LinkedIn,article,Lifestyle,JA,FR,"2025-10-30 10:10:00","#Positivity #Lifestyle #Motivation #Wellness #DailyLife #MindfulLiving",0.61,46490,1558,599,239,0.0516,0,2025-10-30,10:10:00,516,LOW,SMALL,5
331,LinkedIn,article,Food,JA,IN,"2025-10-31 14:06:00","#Foodie #Cooking #Recipe #Food #FoodBlog #MustTry",0.79,5029,117,45,18,0.0359,0,2025-10-31,14:06:00,359,LOW,SMALL,5
332,LinkedIn,video,Food,EN,MX,"2025-12-05 14:39:00","#Recipe #Foodie #FoodBlog #Cooking #MustTry #Food",0.95,20958,1957,753,301,0.1437,1,2025-12-05,14:39:00,1437,LOW,SMALL,5
333,LinkedIn,carousel,Education,HI,CA,"2025-01-05 16:54:00","#Knowledge #Learning #Certification #StudyTips",-1,37702,1750,673,269,0.0715,0,2025-01-05,16:54:00,714,LOW,SMALL,5
334,LinkedIn,image,Entertainment,UR,US,"2025-05-01 15:20:00","#FollowForMore #ShowBiz #MovieTime #Funny #Trending #Entertainment #Viral",0.51,26204,2048,788,315,0.1203,1,2025-05-01,15:20:00,1203,LOW,SMALL,5
335,LinkedIn,image,Health,ES,UK,"2025-12-10 09:41:00","#Wellness #MentalHealth #HealthTips",-0.88,9992,402,154,61,0.062,0,2025-12-10,09:41:00,620,LOW,SMALL,5
336,LinkedIn,carousel,Travel,PT,CA,"2025-04-03 15:52:00","#Tourism #Wanderlust #Adventure #Travel #Journey #ExploreMore",0.91,16515,1246,479,191,0.1161,1,2025-04-03,15:52:00,1161,LOW,SMALL,5
337,LinkedIn,image,Health,DE,US,"2025-01-20 14:37:00","#Nutrition #Health #Wellness #Fitness #MentalHealth #HealthTips",0.71,40981,931,358,143,0.035,0,2025-01-20,14:37:00,350,LOW,SMALL,5
338,LinkedIn,carousel,Entertainment,UR,CA,"2025-01-28 17:00:00","#FollowForMore #Funny #ShowBiz #Trending #Viral #MovieTime",-0.28,19953,436,167,67,0.0337,0,2025-01-28,17:00:00,337,LOW,SMALL,5
339,LinkedIn,poll,Lifestyle,UR,US,"2025-11-19 10:03:00","#Motivation #Wellness #Lifestyle #DailyLife #MindfulLiving #Positivity",0.45,19209,640,246,98,0.0513,0,2025-11-19,10:03:00,513,LOW,SMALL,5
340,LinkedIn,poll,Lifestyle,UR,UK,"2025-01-08 19:58:00","#MindfulLiving #DailyLife #Positivity #Wellness #Lifestyle #Motivation",-0.08,12849,814,313,125,0.0975,1,2025-01-08,19:58:00,975,LOW,SMALL,5
341,LinkedIn,article,Education,HI,MX,"2025-11-01 04:31:00","#StudyTips #Education #Certification #Knowledge #Learning #AcademicSuccess",0.91,4560,317,122,48,0.1072,1,2025-11-01,04:31:00,1072,LOW,SMALL,5
342,LinkedIn,article,Technology,ES,JP,"2025-07-24 15:48:00","#MachineLearning #TechTrends #CodingLife #Innovation #Programming #AI #DataScience",0.96,30413,1481,569,227,0.075,0,2025-07-24,15:48:00,750,LOW,SMALL,5
343,LinkedIn,image,Fashion,EN,IN,"2025-09-30 13:58:00","#OOTD #Lookbook #FashionTips #Style #Fashion #TrendingStyle",0.63,45255,3318,1276,510,0.1128,1,2025-09-30,13:58:00,1128,LOW,SMALL,5
344,LinkedIn,poll,Business,DE,MX,"2025-06-10 09:00:00","#BusinessTips #Leadership #Hustle #StartupLife #Entrepreneur #CareerGrowth",0.57,13653,243,93,37,0.0274,0,2025-06-10,09:00:00,274,LOW,SMALL,5
345,LinkedIn,poll,Entertainment,EN,CA,"2025-12-03 06:40:00","#MovieTime #Entertainment #ShowBiz",-0.14,44017,2641,1016,406,0.0923,1,2025-12-03,06:40:00,922,LOW,SMALL,5
346,LinkedIn,poll,Sports,HI,MX,"2025-05-10 09:29:00","#Training #Basketball #Football #Cricket #Sports",-0.06,5088,189,72,29,0.0572,0,2025-05-10,09:29:00,572,LOW,SMALL,5
347,LinkedIn,image,Technology,UR,UK,"2025-04-02 15:39:00","#MachineLearning #CodingLife #TechTrends #AI #Innovation #Programming",0.79,29939,2203,847,339,0.1132,1,2025-04-02,15:39:00,1132,LOW,SMALL,5
348,LinkedIn,article,Technology,HI,IN,"2025-10-20 14:57:00","#MachineLearning #CodingLife #AI #Innovation #DataScience #Programming",0.82,26646,1671,642,257,0.0965,1,2025-10-20,14:57:00,965,LOW,SMALL,5
349,LinkedIn,poll,Travel,JA,FR,"2025-07-26 02:14:00","#Tourism #Journey #Travel",0.96,24522,1094,421,168,0.0687,0,2025-07-26,02:14:00,687,LOW,SMALL,5
350,LinkedIn,image,Health,EN,IN,"2025-07-07 14:53:00","#Fitness #Wellness #HealthTips #Nutrition #Health #MentalHealth",0.58,26565,2222,854,341,0.1287,1,2025-07-07,14:53:00,1287,LOW,SMALL,5
351,LinkedIn,image,Travel,HI,JP,"2025-04-08 10:46:00","#Adventure #Tourism #ExploreMore #Travel #Journey #Wanderlust",0.9,30445,2931,1127,451,0.1482,1,2025-04-08,10:46:00,1482,LOW,SMALL,5
352,LinkedIn,article,Technology,DE,US,"2025-06-22 01:07:00","#Programming #CodingLife #Innovation #TechTrends",-0.22,36164,765,294,117,0.0326,0,2025-06-22,01:07:00,325,LOW,SMALL,5
353,LinkedIn,poll,Business,HI,US,"2025-03-14 09:58:00","#BusinessTips #Entrepreneur #Leadership #Hustle #StartupLife #CareerGrowth",-0.26,7376,289,111,44,0.0605,0,2025-03-14,09:58:00,605,LOW,SMALL,5
354,LinkedIn,video,Food,HI,IN,"2025-02-28 10:51:00","#Recipe #Cooking #MustTry #Foodie",0.81,36775,1001,385,154,0.0419,0,2025-02-28,10:51:00,419,LOW,SMALL,5
355,LinkedIn,video,Technology,ES,DE,"2025-02-02 10:10:00","#DataScience #Innovation #MachineLearning #TechTrends #AI #Programming #CodingLife",0.91,41136,1960,754,301,0.0733,0,2025-02-02,10:10:00,733,LOW,SMALL,5
356,LinkedIn,video,Technology,JA,IN,"2025-01-04 09:41:00","#DataScience #TechTrends #CodingLife #MachineLearning #AI #Programming #Innovation",0.65,12439,782,301,120,0.0969,1,2025-01-04,09:41:00,969,LOW,SMALL,5
357,LinkedIn,article,Food,ES,JP,"2025-11-10 20:50:00","#Cooking #Recipe #Food #MustTry #FoodBlog",0.99,7270,501,193,77,0.1062,1,2025-11-10,20:50:00,1062,LOW,SMALL,5
358,LinkedIn,poll,Fashion,FR,JP,"2025-11-17 08:12:00","#Style #TrendingStyle #FashionTips",0.8,3825,78,30,12,0.0315,0,2025-11-17,08:12:00,315,LOW,SMALL,5
359,LinkedIn,image,Lifestyle,FR,FR,"2025-05-09 15:06:00","#Lifestyle #Wellness #DailyLife #MindfulLiving #Motivation #Positivity",0.44,16420,1112,428,171,0.1043,1,2025-05-09,15:06:00,1043,LOW,SMALL,5
360,LinkedIn,poll,Food,DE,FR,"2025-04-12 10:49:00","#Cooking #Foodie #Food",0.65,14104,630,242,97,0.0688,0,2025-04-12,10:49:00,688,LOW,SMALL,5
361,LinkedIn,video,Entertainment,JA,CA,"2025-09-06 15:13:00","#FollowForMore #Viral #ShowBiz #Trending #Entertainment #MovieTime #Funny",0.99,14252,643,247,99,0.0695,0,2025-09-06,15:13:00,695,LOW,SMALL,5
362,LinkedIn,article,Food,EN,UK,"2025-03-11 15:26:00","#Cooking #Foodie #MustTry #Recipe",0.88,41077,3731,1435,574,0.1397,1,2025-03-11,15:26:00,1397,LOW,SMALL,5
363,LinkedIn,poll,Fashion,FR,IN,"2025-07-30 15:13:00","#TrendingStyle #Lookbook #OOTD #Fashion #Style #FashionTips",0.66,15575,1324,509,203,0.1308,1,2025-07-30,15:13:00,1308,LOW,SMALL,5
364,LinkedIn,poll,Sports,EN,FR,"2025-01-23 15:49:00","#Sports #Basketball #Cricket #Workout #Fitness #Training #Football",0.45,1814,118,45,18,0.1014,1,2025-01-23,15:49:00,1014,LOW,SMALL,5
365,LinkedIn,carousel,Business,ES,DE,"2025-06-01 09:30:00","#StartupLife #Entrepreneur #CareerGrowth #Hustle #BusinessTips #Leadership",0.48,47080,2119,815,326,0.0693,0,2025-06-01,09:30:00,693,LOW,SMALL,5
366,LinkedIn,image,Travel,EN,IN,"2025-07-17 10:02:00","#Tourism #Wanderlust #Adventure #ExploreMore #Travel",0.6,4592,251,96,38,0.0843,1,2025-07-17,10:02:00,843,LOW,SMALL,5
367,LinkedIn,image,Technology,HI,FR,"2025-07-07 09:23:00","#CodingLife #Innovation #AI #MachineLearning",0.6,36365,874,336,134,0.037,0,2025-07-07,09:23:00,370,LOW,SMALL,5
368,LinkedIn,carousel,Food,FR,BR,"2025-06-14 14:43:00","#Cooking #Food #FoodBlog #Foodie #MustTry #Recipe",0.72,9041,478,184,73,0.0815,1,2025-06-14,14:43:00,815,LOW,SMALL,5
369,LinkedIn,poll,Fashion,UR,JP,"2025-11-14 09:57:00","#Fashion #Lookbook #TrendingStyle #FashionTips #Style #OOTD",0.57,46683,1236,475,190,0.0407,0,2025-11-14,09:57:00,407,LOW,SMALL,5
370,LinkedIn,video,Business,EN,UK,"2025-08-02 17:30:00","#CareerGrowth #Hustle #BusinessTips #Entrepreneur #Leadership",0.92,16225,1392,535,214,0.1321,1,2025-08-02,17:30:00,1321,LOW,SMALL,5
